vértice,tempo_execução,solução,rota
10,47.00064659118652,13,"[0, 6, 4, 2, 9, 5, 8, 3, 1, 7]"
10,27.9998779296875,10,"[0, 4, 3, 1, 2, 9, 6, 7, 5, 8]"
10,66.99991226196289,16,"[0, 2, 6, 9, 3, 8, 4, 5, 1, 7]"
10,31.096935272216797,11,"[0, 8, 2, 6, 3, 7, 4, 5, 1, 9]"
10,31.999826431274414,11,"[0, 2, 7, 4, 6, 3, 5, 8, 9, 1]"
10,88.99903297424316,15,"[0, 1, 9, 4, 7, 5, 3, 8, 6, 2]"
10,99.99871253967285,14,"[0, 9, 8, 2, 6, 3, 1, 7, 4, 5]"
10,66.99991226196289,11,"[0, 7, 4, 1, 2, 3, 6, 9, 8, 5]"
10,42.999267578125,9,"[0, 9, 1, 7, 6, 3, 5, 4, 8, 2]"
10,180.00006675720215,18,"[0, 1, 2, 7, 3, 9, 8, 5, 4, 6]"
10,18.001556396484375,8,"[0, 7, 5, 6, 4, 9, 1, 8, 2, 3]"
10,60.00018119812012,14,"[0, 7, 8, 4, 1, 2, 3, 6, 5, 9]"
10,24.000883102416992,8,"[0, 4, 1, 6, 2, 3, 8, 7, 5, 9]"
10,27.00042724609375,8,"[0, 9, 3, 1, 4, 7, 6, 8, 5, 2]"
10,8.99958610534668,4,"[0, 5, 6, 7, 2, 3, 9, 8, 4, 1]"
10,34.99937057495117,12,"[0, 8, 6, 5, 3, 2, 9, 7, 4, 1]"
10,15.001773834228516,7,"[0, 9, 7, 4, 5, 8, 2, 6, 1, 3]"
10,46.99969291687012,11,"[0, 2, 3, 1, 7, 5, 4, 8, 6, 9]"
10,40.999412536621094,12,"[0, 8, 1, 4, 5, 3, 7, 2, 6, 9]"
10,17.000198364257812,8,"[0, 8, 3, 6, 4, 2, 7, 9, 5, 1]"
10,19.850969314575195,8,"[0, 9, 5, 3, 4, 1, 2, 6, 7, 8]"
10,54.0003776550293,13,"[0, 2, 3, 5, 9, 8, 6, 4, 1, 7]"
10,11.00015640258789,8,"[0, 9, 2, 4, 7, 5, 1, 3, 6, 8]"
10,20.000457763671875,7,"[0, 6, 7, 9, 1, 2, 5, 8, 4, 3]"
10,31.000375747680664,9,"[0, 1, 5, 8, 9, 4, 3, 2, 6, 7]"
10,87.99910545349121,13,"[0, 1, 2, 7, 3, 9, 5, 8, 6, 4]"
10,32.99999237060547,10,"[0, 6, 5, 3, 7, 9, 1, 8, 2, 4]"
10,25.00009536743164,9,"[0, 3, 9, 4, 1, 5, 2, 8, 6, 7]"
10,22.99952507019043,8,"[0, 5, 4, 3, 8, 9, 6, 1, 2, 7]"
10,56.99920654296875,13,"[0, 5, 9, 2, 6, 4, 8, 1, 7, 3]"
10,16.999483108520508,9,"[0, 2, 3, 8, 6, 9, 5, 1, 4, 7]"
10,30.00020980834961,10,"[0, 1, 7, 3, 4, 6, 8, 5, 2, 9]"
10,139.9998664855957,17,"[0, 1, 3, 9, 7, 2, 6, 5, 4, 8]"
10,58.99977684020996,14,"[0, 2, 8, 4, 9, 6, 5, 7, 1, 3]"
10,67.99960136413574,13,"[0, 1, 9, 5, 3, 6, 2, 4, 8, 7]"
10,52.00028419494629,12,"[0, 6, 1, 2, 8, 4, 9, 7, 5, 3]"
10,35.99953651428223,11,"[0, 4, 9, 3, 1, 8, 7, 5, 2, 6]"
10,51.99933052062988,13,"[0, 5, 6, 1, 8, 2, 4, 9, 3, 7]"
10,59.99946594238281,11,"[0, 4, 8, 2, 1, 3, 7, 9, 6, 5]"
10,48.999786376953125,11,"[0, 6, 3, 1, 7, 5, 2, 9, 4, 8]"
10,48.000335693359375,10,"[0, 8, 6, 5, 7, 1, 3, 4, 2, 9]"
10,38.00082206726074,12,"[0, 6, 8, 3, 1, 2, 4, 7, 5, 9]"
10,26.999235153198242,9,"[0, 3, 4, 8, 5, 1, 6, 7, 9, 2]"
