vértice,tempo_execução,solução
5,0.0,13.0
5,0.0,16.0
5,0.0,12.0
5,0.0,11.0
5,0.0,11.0
5,0.0,4.0
5,0.0,6.0
5,0.0,12.0
5,0.0,15.0
5,0.0,10.0
5,0.0,6.0
5,0.0,7.0
5,0.0,11.0
5,0.0,12.0
5,0.0,11.0
5,0.0,13.0
5,0.9989738464355469,10.0
5,0.0,18.0
5,0.0,13.0
5,0.0,12.0
5,0.0,9.0
5,0.9992122650146484,12.0
5,0.0,5.0
5,0.0,13.0
5,0.0,13.0
5,0.0,8.0
5,0.0,13.0
5,0.0,9.0
5,0.0,17.0
5,0.0,15.0
5,0.0,8.0
5,0.0,13.0
5,0.0,8.0
5,1.003265380859375,4.0
5,0.0,9.0
5,0.0,13.0
5,0.0,11.0
5,0.0,17.0
5,0.0,12.0
5,0.0,10.0
5,0.0,14.0
5,0.0,12.0
5,0.0,9.0
5,0.0,16.0
5,0.0,13.0
5,0.9968280792236328,5.0
5,0.0,16.0
5,0.0,9.0
5,0.0,12.0
5,0.0,9.0
5,0.0,19.0
5,0.0,17.0
5,0.0,4.0
5,0.0,15.0
5,0.0,18.0
5,0.0,8.0
5,0.0,3.0
5,0.99945068359375,15.0
5,0.0,18.0
5,0.0,11.0
5,0.0,19.0
5,0.0,12.0
5,0.9987354278564453,11.0
5,0.0,13.0
5,0.0,10.0
5,0.0,11.0
5,0.0,9.0
5,0.9992122650146484,13.0
5,0.0,15.0
5,0.0,15.0
5,0.0,10.0
5,0.0,9.0
5,0.0,8.0
5,0.0,21.0
5,0.0,9.0
5,0.0,15.0
5,0.0,21.0
5,0.0,7.0
5,0.0,13.0
5,0.0,6.0
5,0.0,12.0
5,0.0,11.0
5,0.0,17.0
5,0.0,12.0
5,0.0,21.0
5,0.0,11.0
5,1.0001659393310547,17.0
5,0.0,11.0
5,0.0,9.0
5,0.0,10.0
5,0.0,3.0
5,0.9992122650146484,10.0
5,0.0,7.0
5,0.0,14.0
5,0.0,7.0
5,0.0,7.0
5,0.9989738464355469,11.0
5,0.0,19.0
5,0.0,6.0
5,0.0,12.0
5,0.0,17.0
5,0.9996891021728516,11.0
5,0.0,10.0
5,0.0,13.0
5,0.0,4.0
5,0.0,11.0
5,0.9992122650146484,11.0
5,0.0,17.0
5,0.0,9.0
5,0.0,16.0
5,0.0,11.0
5,0.0,7.0
5,0.0,9.0
5,0.0,14.0
5,0.0,11.0
5,0.0,9.0
5,1.0001659393310547,4.0
5,0.0,3.0
5,0.0,15.0
5,0.0,12.0
5,0.0,13.0
5,0.0,18.0
5,0.0,8.0
5,0.0,14.0
5,0.0,12.0
5,0.0,10.0
5,0.0,11.0
5,0.0,3.0
5,0.0,11.0
5,0.0,13.0
5,0.0,15.0
5,0.0,7.0
5,0.0,10.0
5,0.0,22.0
5,0.0,14.0
5,0.0,9.0
5,0.0,14.0
5,0.0,21.0
5,0.0,12.0
5,0.0,3.0
5,0.0,8.0
5,0.0,20.0
5,0.0,11.0
5,0.0,8.0
5,0.0,21.0
5,0.0,14.0
5,0.0,16.0
5,0.0,8.0
5,1.0004043579101562,11.0
5,0.0,9.0
5,0.0,6.0
5,0.0,3.0
5,0.0,10.0
5,0.9999275207519531,8.0
5,0.0,7.0
5,0.0,12.0
5,0.0,8.0
5,0.0,19.0
5,0.0,15.0
5,0.0,8.0
5,0.0,8.0
5,0.0,16.0
5,0.0,9.0
5,0.0,8.0
5,0.0,14.0
5,0.9992122650146484,14.0
5,0.0,12.0
5,0.0,11.0
5,0.0,13.0
5,0.0,9.0
5,0.0,16.0
5,0.0,10.0
5,0.0,12.0
5,0.0,12.0
5,0.0,6.0
5,0.0,6.0
5,0.0,21.0
5,0.0,7.0
5,0.9999275207519531,13.0
5,0.0,18.0
5,0.0,9.0
5,0.9999275207519531,19.0
5,0.0,13.0
5,0.0,13.0
5,0.9989738464355469,14.0
5,0.0,14.0
5,0.9999275207519531,7.0
5,0.0,3.0
5,0.0,11.0
5,0.0,17.0
5,0.0,12.0
5,0.0,10.0
5,0.0,12.0
5,0.0,6.0
5,0.0,19.0
5,0.0,3.0
5,0.0,16.0
5,0.0,14.0
5,0.0,9.0
5,0.0,13.0
5,0.0,12.0
5,0.0,12.0
5,0.0,12.0
5,0.0,11.0
5,0.0,13.0
5,0.0,4.0
5,0.0,2.0
5,0.0,13.0
5,0.0,14.0
5,0.0,9.0
5,0.0,13.0
5,0.0,11.0
5,0.0,6.0
5,0.0,12.0
5,0.0,16.0
5,0.0,15.0
5,0.0,9.0
5,0.9999275207519531,19.0
5,0.0,14.0
5,0.0,20.0
5,0.0,9.0
5,0.0,10.0
5,1.0020732879638672,6.0
5,0.0,15.0
5,0.0,6.0
5,0.9996891021728516,5.0
5,0.0,11.0
5,0.0,8.0
5,0.0,6.0
5,0.0,10.0
5,0.0,7.0
5,0.0,16.0
5,1.0018348693847656,11.0
5,0.0,7.0
5,0.9984970092773438,10.0
5,0.0,8.0
5,0.0,15.0
5,0.0,8.0
5,0.0,4.0
5,0.0,9.0
5,0.0,6.0
5,0.0,12.0
5,0.0,14.0
5,0.0,17.0
5,0.0,15.0
5,0.0,3.0
5,0.0,8.0
5,0.0,7.0
5,0.0,17.0
5,0.0,11.0
5,0.0,10.0
5,0.0,15.0
5,0.0,11.0
5,0.0,9.0
5,0.0,5.0
5,0.0,11.0
5,0.0,18.0
5,0.0,9.0
5,0.0,21.0
5,0.0,7.0
5,0.9999275207519531,12.0
5,0.0,10.0
5,0.0,13.0
5,0.0,6.0
5,0.0,15.0
5,0.0,17.0
5,0.0,11.0
5,0.0,18.0
5,0.0,18.0
5,0.9996891021728516,12.0
5,0.0,7.0
5,0.0,9.0
5,0.0,14.0
5,0.0,9.0
5,0.99945068359375,12.0
5,0.0,11.0
5,0.0,9.0
5,0.0,14.0
5,0.0,13.0
5,0.0,19.0
5,0.0,13.0
5,1.0001659393310547,13.0
5,0.0,12.0
5,0.0,17.0
5,0.0,11.0
5,0.0,11.0
5,0.9987354278564453,5.0
5,0.0,14.0
5,0.0,11.0
5,0.0,12.0
5,0.0,17.0
5,0.0,11.0
5,0.0,14.0
5,0.0,18.0
5,0.0,14.0
5,0.0,13.0
5,0.0,9.0
5,0.0,8.0
5,0.0,2.0
5,0.0,13.0
5,0.0,9.0
5,0.0,12.0
5,0.0,12.0
5,0.0,13.0
5,0.0,7.0
5,1.0004043579101562,13.0
5,0.0,12.0
5,0.0,7.0
5,0.0,10.0
5,0.0,11.0
5,0.0,6.0
5,0.0,13.0
5,0.9989738464355469,18.0
5,0.0,16.0
5,0.0,16.0
5,0.0,16.0
5,0.0,7.0
5,0.0,14.0
5,0.0,4.0
5,0.0,8.0
5,0.0,12.0
5,0.0,14.0
5,0.0,17.0
5,0.0,10.0
5,0.0,6.0
5,0.0,14.0
5,0.0,6.0
5,0.0,20.0
5,0.0,16.0
5,1.0013580322265625,9.0
5,0.0,11.0
5,0.0,17.0
5,0.0,10.0
5,0.0,16.0
5,0.0,13.0
5,0.0,9.0
5,1.0006427764892578,12.0
5,0.0,14.0
5,0.0,8.0
5,0.0,14.0
5,0.0,8.0
5,0.0,9.0
5,0.0,13.0
5,0.9987354278564453,8.0
5,0.0,17.0
5,0.0,15.0
5,0.0,14.0
5,0.0,11.0
5,0.0,18.0
5,0.0,19.0
5,0.0,16.0
5,0.0,19.0
5,0.0,11.0
5,0.0,17.0
5,1.0013580322265625,12.0
5,0.0,3.0
5,0.0,14.0
5,0.0,11.0
5,0.0,5.0
5,0.99945068359375,13.0
5,0.0,6.0
5,0.0,8.0
5,0.0,12.0
5,0.0,6.0
5,0.0,10.0
5,0.0,8.0
5,0.0,14.0
5,0.0,6.0
5,0.0,5.0
5,0.0,8.0
5,0.0,13.0
5,0.0,14.0
5,0.0,14.0
5,0.0,9.0
5,0.0,8.0
5,0.0,16.0
5,0.0,14.0
5,0.0,16.0
5,0.0,14.0
5,0.0,7.0
