graph_number,vertices,solution,average_time_execution
1.0,4.0,14.0,0
2.0,5.0,9.0,0
3.0,6.0,8.0,0
4.0,7.0,16.0,0.00001426764896937778988816013236995416946228942833840847015380859375
5.0,8.0,2.0,0.000014291490827287946476973311271674305089618428610265254974365234375
6.0,9.0,14.0,0
7.0,10.0,12.0,0
8.0,11.0,10.0,0
9.0,12.0,13.0,0.000014274460928780692496706423988417355985802714712917804718017578125
10.0,13.0,16.0,0.00001428808484758649601973311271674305089618428610265254974365234375
11.0,14.0,11.0,0
12.0,15.0,10.0,0
13.0,16.0,7.0,0.000014274460928780692496706423988417355985802714712917804718017578125
14.0,17.0,5.0,0.00001428808484758649601973311271674305089618428610265254974365234375
15.0,18.0,14.0,0
16.0,19.0,9.0,0
17.0,20.0,11.0,0.000014281272888183593411186821098279864372670999728143215179443359375
18.0,21.0,13.0,0.000014294896806989396934213509826605559283052571117877960205078125
19.0,22.0,14.0,0
20.0,23.0,10.0,0
21.0,24.0,13.0,0.00001427786690848214295394662254334861017923685722053050994873046875
22.0,25.0,13.0,0.000014291490827287946476973311271674305089618428610265254974365234375
23.0,26.0,15.0,0
24.0,27.0,8.0,0
25.0,28.0,10.0,0
26.0,29.0,10.0,0.00001428467886788504386842701965321111856610514223575592041015625
27.0,30.0,12.0,0.000014271054949079240345400330924885423655723570846021175384521484375
28.0,31.0,14.0,0
29.0,32.0,12.0,0
30.0,33.0,11.0,0.000014294896806989396934213509826605559283052571117877960205078125
31.0,34.0,15.0,0.000014274460928780692496706423988417355985802714712917804718017578125
32.0,35.0,12.0,0
33.0,36.0,16.0,0
34.0,37.0,11.0,0.000014294896806989396934213509826605559283052571117877960205078125
35.0,38.0,12.0,0.000014281272888183593411186821098279864372670999728143215179443359375
36.0,39.0,5.0,0
37.0,40.0,6.0,0
38.0,41.0,16.0,0.000014298302786690847391453708381536813476486713625490665435791015625
39.0,42.0,14.0,0.000014271054949079240345400330924885423655723570846021175384521484375
40.0,43.0,13.0,0
41.0,44.0,6.0,0
42.0,45.0,5.0,0.000014301708766392299542759801445068745806565857492387294769287109375
43.0,46.0,3.0,0.000014271054949079240345400330924885423655723570846021175384521484375
44.0,47.0,14.0,0
45.0,48.0,8.0,0
46.0,49.0,9.0,0
47.0,50.0,4.0,0.00001428808484758649601973311271674305089618428610265254974365234375
48.0,51.0,10.0,0.00001427786690848214295394662254334861017923685722053050994873046875
49.0,52.0,9.0,0
50.0,53.0,4.0,0
